restaurant_id,name,area,cuisine,price_band,rating,review_count,source,source_table,address,restaurant_url,has_menu_data
51,Captain Cook's - Q-Block DHA,DHA,Fast Food,,3.9,1000,foodpanda_lahore,restaurants_clean,,,False
52,Burning Brownie (DHA),DHA,Desserts,,2.6,6,foodpanda_lahore,restaurants_clean,,,False
53,Krem - DHA,DHA,Pasta,,3.6,96,foodpanda_lahore,restaurants_clean,,,False
54,Mastani - DHA,DHA,Pasta,,3.5,100,foodpanda_lahore,restaurants_clean,,,False
55,Gloria Jeans Coffees DHA XX Block,DHA,Pasta,,4.0,1000,foodpanda_lahore,restaurants_clean,,,False
56,Sally's- DHA,DHA,Fast Food,,4.5,500,foodpanda_lahore,restaurants_clean,,,False
57,Novu Pan Asian - DHA,DHA,Chinese,,4.0,2000,foodpanda_lahore,restaurants_clean,,,False
58,Amavi - DHA,DHA,Pasta,,4.4,100,foodpanda_lahore,restaurants_clean,,,False
59,Go Flour - DHA Phase 4,DHA,Continental,,4.4,100,foodpanda_lahore,restaurants_clean,,,False
60,The Burger Cart - DHA,DHA,Burgers,,4.3,500,foodpanda_lahore,restaurants_clean,,,False
61,Bagh - DHA,DHA,Pakistani,,3.4,63,foodpanda_lahore,restaurants_clean,,,False
62,Home Grown - DHA,DHA,Burgers,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
63,Munch -Dha,DHA,Fast Food,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
64,Muhammad Din Dogar Restaurant - DD DHA,DHA,Pakistani,,3.5,85,foodpanda_lahore,restaurants_clean,,,False
65,ProPasta - DHA,DHA,Fast Food,,3.3,100,foodpanda_lahore,restaurants_clean,,,False
66,NY 212 - DHA,DHA,Pizza,,4.2,3000,foodpanda_lahore,restaurants_clean,,,False
67,Defence Bar.B.Q,DHA,Pakistani,,4.1,500,foodpanda_lahore,restaurants_clean,,,False
68,Defence Dhaba Bar.B.Q & Pakwan Center,DHA,Pakistani,,4.0,1000,foodpanda_lahore,restaurants_clean,,,False
69,THE HOTSPOT CAFE - DD BLOCK DHA,DHA,Pasta,,4.5,1000,foodpanda_lahore,restaurants_clean,,,False
70,Philly's - DHA,DHA,Burgers,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
71,It's Cheesy - DHA Phase 8 (Ex. Park View),DHA,Fast Food,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
72,14Th Street Pizza Co. - Dha Phase 5,DHA,Pizza,,4.1,1000,foodpanda_lahore,restaurants_clean,,,False
73,Cinnabon - DHA Phase 5,DHA,Pasta,,4.6,1000,foodpanda_lahore,restaurants_clean,,,False
74,Pie in the Sky - Dha phase 5,DHA,Cakes & Bakery,,4.3,1000,foodpanda_lahore,restaurants_clean,,,False
75,SALT - My Dainty Kitchen -DHA Phase 8,DHA,Pakistani,,4.0,100,foodpanda_lahore,restaurants_clean,,,False
76,Haagen Dazs - DHA,DHA,Desserts,,4.2,100,foodpanda_lahore,restaurants_clean,,,False
77,Arabian Shawarma Abu Alman - DHA 5 M Block near Askari 11,DHA,Shawarma,,4.3,500,foodpanda_lahore,restaurants_clean,,,False
78,Kulchay RESTAUARNT -DHA,DHA,Pakistani,,4.0,100,foodpanda_lahore,restaurants_clean,,,False
79,Go Sushi - DHA Phase 6,DHA,Continental,,3.9,78,foodpanda_lahore,restaurants_clean,,,True
80,Movenpick Ice Cream - Dha,DHA,Ice Cream,,4.6,17,foodpanda_lahore,restaurants_clean,,,False
